distance_km,traffic,hour,weekday,type_route,weather,duration_minutes
2908.69,LOW,5,6,URBAN,CLEAR,10825.48
998.34,HIGH,8,2,MIXED,CLEAR,1996.68
1120.12,MEDIUM,20,2,URBAN,CLEAR,3360.36
1956.92,MEDIUM,16,4,URBAN,CLEAR,5870.76
25.31,LOW,1,2,URBAN,SNOW,75.93
2845.96,LOW,22,0,URBAN,RAIN,6545.71
319.86,LOW,21,2,URBAN,RAIN,735.68
561.83,LOW,15,6,HIGHWAY,CLEAR,337.1
1063.86,LOW,0,1,URBAN,CLEAR,2127.72
2408.6,LOW,8,5,MIXED,CLEAR,2064.51
2583.56,MEDIUM,2,3,HIGHWAY,RAIN,2228.32
2693.42,LOW,7,5,HIGHWAY,CLEAR,1616.05
2232.0,MEDIUM,11,4,HIGHWAY,CLEAR,1674.0
1922.99,HIGH,9,2,URBAN,CLEAR,11537.94
2378.95,MEDIUM,18,5,HIGHWAY,CLEAR,1784.21
772.41,MEDIUM,23,2,URBAN,FOG,2896.54
184.33,MEDIUM,20,1,URBAN,CLEAR,552.99
1202.27,LOW,20,5,URBAN,CLEAR,2404.54
903.3,LOW,9,1,MIXED,RAIN,890.4
2851.51,LOW,17,6,HIGHWAY,CLEAR,1710.91
741.47,HIGH,6,6,HIGHWAY,CLEAR,1260.73
2896.27,MEDIUM,21,0,HIGHWAY,CLEAR,2172.2
729.75,LOW,11,0,MIXED,FOG,781.88
406.86,MEDIUM,17,1,HIGHWAY,CLEAR,305.14
2813.59,MEDIUM,8,2,MIXED,CLEAR,3376.31
845.21,MEDIUM,9,1,HIGHWAY,SNOW,950.86
2355.17,LOW,3,5,URBAN,CLEAR,4710.34
2532.27,HIGH,21,3,URBAN,CLEAR,15193.62
1433.02,MEDIUM,6,5,MIXED,SNOW,2579.44
2511.04,LOW,11,1,MIXED,FOG,2690.4
31.71,LOW,10,3,MIXED,RAIN,31.26
2279.29,HIGH,6,5,URBAN,CLEAR,13675.74
1722.64,LOW,10,6,MIXED,SNOW,2214.82
2356.14,MEDIUM,19,0,HIGHWAY,CLEAR,1767.1
55.17,MEDIUM,2,1,MIXED,RAIN,76.13
889.56,HIGH,21,6,MIXED,CLEAR,1779.12
1944.53,MEDIUM,10,4,URBAN,CLEAR,5833.59
163.85,LOW,12,6,HIGHWAY,CLEAR,98.31
1269.75,MEDIUM,4,5,URBAN,RAIN,4380.64
662.74,LOW,14,0,HIGHWAY,CLEAR,397.64
632.41,HIGH,23,1,HIGHWAY,SNOW,948.62
1211.22,LOW,8,1,MIXED,CLEAR,1038.19
1031.11,LOW,9,5,URBAN,RAIN,2371.55
1532.83,MEDIUM,11,3,URBAN,RAIN,5288.26
2979.72,MEDIUM,4,3,HIGHWAY,CLEAR,2234.79
2709.07,MEDIUM,8,6,HIGHWAY,CLEAR,2031.8
1278.4,LOW,9,6,URBAN,CLEAR,2556.8
2060.41,LOW,4,2,MIXED,SNOW,2649.1
787.45,LOW,4,0,MIXED,CLEAR,674.96
1085.08,LOW,6,4,URBAN,CLEAR,2170.16
965.58,LOW,9,0,URBAN,CLEAR,1931.16
1360.43,LOW,17,0,URBAN,FOG,3401.08
1558.51,MEDIUM,20,3,URBAN,CLEAR,4675.53
2386.72,LOW,14,0,HIGHWAY,RAIN,1646.84
2285.56,MEDIUM,21,0,MIXED,RAIN,3154.07
2500.62,HIGH,2,4,HIGHWAY,RAIN,2875.71
820.38,HIGH,11,3,HIGHWAY,CLEAR,820.38
456.33,LOW,18,3,MIXED,RAIN,449.81
2038.49,MEDIUM,21,5,URBAN,RAIN,7032.79
496.49,MEDIUM,14,5,MIXED,CLEAR,595.79
1144.56,HIGH,19,2,URBAN,CLEAR,6867.36
1568.01,MEDIUM,22,0,URBAN,CLEAR,4704.03
417.73,HIGH,23,2,HIGHWAY,RAIN,480.39
2776.45,LOW,6,2,URBAN,CLEAR,5552.9
2394.51,HIGH,15,2,MIXED,CLEAR,4789.02
21.96,HIGH,16,2,URBAN,SNOW,197.64
989.41,HIGH,11,1,HIGHWAY,CLEAR,1536.83
1883.89,LOW,19,6,HIGHWAY,CLEAR,1130.33
1400.5,MEDIUM,10,2,HIGHWAY,CLEAR,1050.38
2235.54,LOW,12,5,MIXED,CLEAR,1916.18
2584.22,HIGH,15,2,URBAN,CLEAR,15505.32
1265.15,MEDIUM,14,5,HIGHWAY,RAIN,1091.19
1726.12,LOW,7,3,URBAN,CLEAR,3452.24
2123.54,LOW,19,2,URBAN,RAIN,4884.14
2270.3,LOW,8,3,MIXED,CLEAR,1945.97
1759.9,MEDIUM,22,2,HIGHWAY,CLEAR,1319.93
2867.39,LOW,19,0,MIXED,RAIN,2826.43
2815.33,HIGH,3,4,HIGHWAY,CLEAR,5498.5
1137.31,MEDIUM,5,3,URBAN,RAIN,3923.72
23.91,LOW,14,6,HIGHWAY,CLEAR,14.35
1553.14,HIGH,17,4,URBAN,CLEAR,9318.84
834.22,LOW,14,5,URBAN,CLEAR,1668.44
2062.95,LOW,11,6,MIXED,CLEAR,1768.24
2006.74,LOW,6,0,HIGHWAY,RAIN,1384.65
64.66,HIGH,4,2,URBAN,CLEAR,387.96
772.48,MEDIUM,23,0,URBAN,CLEAR,2317.44
1932.44,LOW,5,3,HIGHWAY,RAIN,1333.38
2895.14,MEDIUM,5,2,HIGHWAY,CLEAR,2171.36
2394.2,MEDIUM,2,4,MIXED,CLEAR,2873.04
576.45,HIGH,2,1,URBAN,CLEAR,3458.7
2216.51,HIGH,22,2,MIXED,CLEAR,4433.02
1918.51,HIGH,19,3,MIXED,CLEAR,3837.02
849.16,HIGH,21,4,URBAN,CLEAR,5094.96
1880.46,HIGH,7,1,URBAN,CLEAR,11282.76
1475.08,LOW,13,6,URBAN,CLEAR,2950.16
477.15,LOW,2,2,HIGHWAY,RAIN,329.23
1451.81,LOW,16,3,MIXED,SNOW,1866.61
1885.52,LOW,9,2,MIXED,RAIN,1858.58
1846.18,HIGH,12,3,URBAN,CLEAR,11077.08
1777.19,MEDIUM,5,6,HIGHWAY,CLEAR,1332.89
2777.82,HIGH,3,1,MIXED,CLEAR,5555.64
2210.82,HIGH,15,2,MIXED,CLEAR,4421.64
412.15,LOW,1,2,MIXED,CLEAR,353.27
963.88,LOW,1,5,MIXED,RAIN,950.11
770.26,MEDIUM,6,6,URBAN,SNOW,3466.17
1126.43,LOW,22,2,HIGHWAY,RAIN,777.24
73.78,MEDIUM,19,3,HIGHWAY,FOG,69.17
1736.45,LOW,23,4,URBAN,SNOW,5209.35
614.45,LOW,0,0,MIXED,SNOW,790.01
858.25,HIGH,23,5,URBAN,SNOW,7724.25
1555.05,LOW,15,4,MIXED,SNOW,1999.35
1143.97,LOW,17,0,MIXED,CLEAR,980.55
2516.42,MEDIUM,4,6,MIXED,CLEAR,3019.7
1796.63,MEDIUM,15,2,MIXED,FOG,2694.95
798.8,LOW,14,2,URBAN,CLEAR,2221.15
2047.45,LOW,1,3,URBAN,SNOW,6142.35
1749.67,LOW,17,0,URBAN,SNOW,5249.01
1772.75,HIGH,6,0,URBAN,CLEAR,10636.5
1033.88,MEDIUM,22,0,HIGHWAY,CLEAR,775.41
1915.27,HIGH,12,5,MIXED,CLEAR,3830.54
2793.42,MEDIUM,11,4,HIGHWAY,CLEAR,2095.07
484.89,HIGH,16,0,MIXED,FOG,1212.22
151.91,LOW,23,2,HIGHWAY,RAIN,104.82
466.56,MEDIUM,1,4,URBAN,CLEAR,1399.68
1109.17,MEDIUM,15,6,MIXED,CLEAR,1331.0
1834.36,LOW,12,0,URBAN,CLEAR,3668.72
1642.98,MEDIUM,21,2,URBAN,CLEAR,4928.94
2246.59,LOW,12,4,MIXED,CLEAR,1925.65
893.21,MEDIUM,18,4,URBAN,CLEAR,2679.63
1940.37,LOW,11,6,MIXED,CLEAR,1663.17
1751.78,LOW,11,5,HIGHWAY,FOG,1313.84
2715.82,MEDIUM,4,3,URBAN,RAIN,9369.58
668.03,HIGH,15,2,URBAN,RAIN,4609.41
2220.41,LOW,11,5,URBAN,CLEAR,4440.82
26.2,MEDIUM,16,3,HIGHWAY,SNOW,29.48
2515.65,MEDIUM,5,5,MIXED,CLEAR,3018.78
2343.98,HIGH,17,6,URBAN,RAIN,16173.46
811.91,HIGH,20,4,HIGHWAY,CLEAR,811.91
1298.05,HIGH,7,1,HIGHWAY,CLEAR,1298.05
2849.43,LOW,16,2,HIGHWAY,CLEAR,1709.66
1937.12,MEDIUM,1,1,URBAN,RAIN,6683.06
1515.64,MEDIUM,3,3,URBAN,CLEAR,4546.92
161.21,HIGH,8,5,MIXED,CLEAR,322.42
1732.12,HIGH,21,4,HIGHWAY,CLEAR,1732.12
1969.06,MEDIUM,2,4,HIGHWAY,CLEAR,1476.8
2825.01,LOW,11,4,MIXED,CLEAR,2421.44
1264.75,HIGH,13,1,URBAN,CLEAR,12757.49
34.56,LOW,7,6,HIGHWAY,CLEAR,20.74
910.15,LOW,10,5,HIGHWAY,RAIN,896.61
2169.01,MEDIUM,14,0,HIGHWAY,RAIN,1870.77
1357.07,HIGH,10,0,URBAN,SNOW,12213.63
90.44,LOW,7,4,MIXED,FOG,96.9
168.39,LOW,1,2,HIGHWAY,CLEAR,101.03
2807.95,MEDIUM,23,1,URBAN,CLEAR,8423.85
107.44,MEDIUM,2,2,HIGHWAY,RAIN,92.67
2822.29,HIGH,7,4,URBAN,SNOW,25400.61
1276.31,LOW,12,3,URBAN,CLEAR,2552.62
2115.3,LOW,12,2,MIXED,CLEAR,1813.11
522.06,LOW,19,6,URBAN,RAIN,1200.74
1923.7,MEDIUM,14,2,URBAN,CLEAR,5771.1
2334.09,LOW,2,2,URBAN,FOG,5835.23
959.55,LOW,11,1,URBAN,RAIN,2206.96
252.62,MEDIUM,10,0,URBAN,CLEAR,757.86
108.87,LOW,20,6,MIXED,RAIN,107.31
1760.79,LOW,9,2,URBAN,CLEAR,3521.58
309.06,LOW,12,5,URBAN,RAIN,710.84
2052.18,LOW,13,4,MIXED,SNOW,2638.52
1288.19,LOW,5,0,MIXED,RAIN,1269.79
834.33,MEDIUM,15,2,URBAN,CLEAR,2502.99
1179.42,MEDIUM,3,3,HIGHWAY,CLEAR,884.57
237.16,HIGH,7,2,URBAN,CLEAR,1422.96
1094.27,LOW,4,5,MIXED,RAIN,1078.64
2115.07,HIGH,5,1,URBAN,RAIN,14593.98
1008.0,HIGH,7,2,URBAN,FOG,7560.0
2441.46,HIGH,2,5,URBAN,CLEAR,14648.76
2735.75,MEDIUM,2,4,MIXED,RAIN,3775.34
393.33,HIGH,2,5,HIGHWAY,CLEAR,393.33
2795.78,LOW,22,6,URBAN,SNOW,8387.34
1085.68,LOW,2,6,URBAN,CLEAR,2171.36
28.96,HIGH,15,0,HIGHWAY,CLEAR,28.96
1637.29,LOW,21,3,MIXED,CLEAR,1403.39
2903.52,LOW,23,3,MIXED,SNOW,3733.1
1539.48,HIGH,14,5,HIGHWAY,RAIN,1770.4
1896.45,LOW,15,2,HIGHWAY,CLEAR,1137.87
2822.79,HIGH,20,3,URBAN,RAIN,19477.25
2393.76,LOW,15,6,URBAN,CLEAR,4787.52
645.88,LOW,3,3,URBAN,SNOW,1937.64
488.78,MEDIUM,0,5,HIGHWAY,RAIN,421.57
1266.91,HIGH,9,5,HIGHWAY,CLEAR,1266.91
75.82,LOW,4,4,MIXED,RAIN,140.78
1466.3,HIGH,21,6,MIXED,FOG,3665.75
1783.51,LOW,19,5,URBAN,CLEAR,3567.02
1881.72,LOW,14,2,MIXED,CLEAR,1612.9
1192.68,LOW,4,3,MIXED,FOG,1277.87
1067.07,LOW,19,6,URBAN,CLEAR,4259.02
571.35,HIGH,22,1,HIGHWAY,FOG,714.19
2432.22,MEDIUM,20,0,URBAN,FOG,9120.83
178.12,MEDIUM,23,1,URBAN,CLEAR,534.36
2014.6,HIGH,11,6,HIGHWAY,CLEAR,2014.6
2359.91,LOW,23,5,URBAN,FOG,5899.77
2626.98,LOW,15,3,URBAN,CLEAR,5253.96
1715.97,HIGH,2,3,HIGHWAY,CLEAR,1715.97
1178.83,HIGH,23,4,MIXED,CLEAR,2357.66
2270.04,MEDIUM,6,2,MIXED,CLEAR,2724.05
457.19,LOW,9,3,URBAN,FOG,1142.97
2047.43,MEDIUM,7,0,MIXED,SNOW,5310.29
1711.62,MEDIUM,13,3,URBAN,CLEAR,5134.86
1276.13,MEDIUM,10,5,URBAN,SNOW,5742.59
1269.27,HIGH,17,6,URBAN,RAIN,8757.96
1193.1,LOW,12,6,URBAN,RAIN,2744.13
1703.66,MEDIUM,1,3,MIXED,CLEAR,2044.39
1634.83,LOW,7,0,MIXED,CLEAR,1401.28
2261.64,LOW,5,2,URBAN,CLEAR,4523.28
2428.49,MEDIUM,14,2,MIXED,CLEAR,2914.19
1112.72,MEDIUM,13,1,URBAN,SNOW,5007.24
1343.34,MEDIUM,3,2,URBAN,CLEAR,4030.02
1016.78,MEDIUM,16,2,HIGHWAY,SNOW,1143.88
348.77,MEDIUM,1,6,HIGHWAY,FOG,326.97
2542.03,HIGH,13,2,URBAN,CLEAR,15252.18
1774.15,LOW,1,3,MIXED,CLEAR,1520.7
2514.28,LOW,14,2,MIXED,FOG,2693.87
2136.05,HIGH,6,5,URBAN,CLEAR,12816.3
1590.82,MEDIUM,5,1,URBAN,CLEAR,7743.61
860.31,LOW,1,4,MIXED,SNOW,1106.11
995.8,MEDIUM,1,1,HIGHWAY,CLEAR,746.85
2636.18,MEDIUM,3,0,URBAN,CLEAR,7908.54
2959.61,HIGH,23,5,HIGHWAY,SNOW,4439.41
2509.47,LOW,4,4,MIXED,CLEAR,2150.97
1259.53,LOW,2,5,URBAN,RAIN,2896.92
2214.98,LOW,12,2,URBAN,SNOW,6644.94
1983.91,MEDIUM,4,1,HIGHWAY,RAIN,1711.12
247.01,HIGH,2,5,URBAN,RAIN,2187.0
531.48,LOW,18,1,MIXED,RAIN,523.89
1226.12,LOW,23,5,URBAN,RAIN,2820.08
457.18,HIGH,4,3,MIXED,CLEAR,914.36
2848.34,HIGH,1,1,HIGHWAY,CLEAR,2848.34
1549.33,HIGH,20,3,URBAN,FOG,11619.97
533.43,LOW,13,5,MIXED,CLEAR,737.58
1450.65,LOW,21,4,HIGHWAY,RAIN,1000.95
2310.07,MEDIUM,14,5,URBAN,CLEAR,6930.21
1890.69,HIGH,22,1,URBAN,FOG,14180.18
780.61,MEDIUM,21,5,HIGHWAY,FOG,731.82
1651.93,LOW,9,4,URBAN,CLEAR,3303.86
1753.72,LOW,6,0,URBAN,CLEAR,3507.44
146.98,LOW,4,4,HIGHWAY,FOG,110.23
2340.13,LOW,11,6,URBAN,CLEAR,4680.26
1742.42,LOW,23,1,MIXED,CLEAR,1493.5
1776.88,MEDIUM,13,2,HIGHWAY,SNOW,1998.99
299.44,HIGH,19,6,HIGHWAY,RAIN,344.36
1808.79,MEDIUM,10,5,MIXED,CLEAR,2170.55
1748.55,LOW,23,4,MIXED,CLEAR,1498.76
354.74,LOW,0,4,HIGHWAY,CLEAR,212.84
1555.64,HIGH,22,3,URBAN,CLEAR,9333.84
2075.07,LOW,5,0,MIXED,CLEAR,1778.63
2970.6,MEDIUM,13,4,HIGHWAY,CLEAR,2227.95
1188.24,HIGH,21,6,URBAN,CLEAR,7129.44
1902.5,LOW,9,0,MIXED,CLEAR,1630.71
2833.03,LOW,15,4,MIXED,SNOW,3642.47
1971.03,HIGH,6,4,MIXED,CLEAR,3942.06
1295.79,MEDIUM,9,4,URBAN,CLEAR,3887.37
2645.25,MEDIUM,13,0,URBAN,CLEAR,7935.75
2131.37,LOW,19,5,MIXED,FOG,2762.08
1729.26,LOW,2,5,HIGHWAY,CLEAR,1037.56
1131.93,HIGH,18,2,URBAN,SNOW,10187.37
1304.55,MEDIUM,12,6,URBAN,RAIN,4500.7
1664.48,LOW,8,5,MIXED,SNOW,2140.05
1224.55,HIGH,10,3,URBAN,CLEAR,7347.3
2488.53,LOW,21,2,URBAN,RAIN,5723.62
32.4,LOW,18,4,HIGHWAY,CLEAR,19.44
956.2,LOW,18,1,HIGHWAY,CLEAR,573.72
1971.83,MEDIUM,4,2,MIXED,FOG,2957.74
602.8,HIGH,13,4,HIGHWAY,CLEAR,602.8
193.86,LOW,22,4,URBAN,CLEAR,387.72
2175.52,LOW,18,2,MIXED,CLEAR,1864.73
212.6,HIGH,17,6,URBAN,CLEAR,1275.6
135.32,MEDIUM,15,3,URBAN,CLEAR,405.96
250.64,LOW,16,2,HIGHWAY,CLEAR,150.38
2846.07,LOW,2,3,HIGHWAY,CLEAR,1707.64
400.4,LOW,16,1,URBAN,RAIN,920.92
1879.72,LOW,7,1,HIGHWAY,FOG,1409.79
1281.44,LOW,14,6,URBAN,CLEAR,2562.88
547.3,MEDIUM,11,4,URBAN,CLEAR,1641.9
2267.97,LOW,15,5,URBAN,CLEAR,4535.94
486.57,HIGH,5,5,URBAN,CLEAR,2919.42
1650.17,LOW,13,2,URBAN,CLEAR,3300.34
805.17,LOW,21,6,MIXED,SNOW,1035.22
443.07,LOW,2,6,HIGHWAY,SNOW,398.76
180.46,LOW,17,0,URBAN,RAIN,415.06
1894.63,MEDIUM,11,6,HIGHWAY,FOG,2786.18
1128.51,LOW,16,3,URBAN,CLEAR,2257.02
1915.95,LOW,9,6,URBAN,RAIN,4406.68
654.16,LOW,6,3,MIXED,CLEAR,1010.48
822.94,HIGH,20,3,MIXED,CLEAR,1645.88
1309.89,MEDIUM,14,6,URBAN,CLEAR,5809.1
2871.91,MEDIUM,4,6,URBAN,FOG,10769.66
697.46,LOW,3,3,HIGHWAY,CLEAR,418.48
1944.81,MEDIUM,2,3,HIGHWAY,CLEAR,1458.61
312.63,LOW,19,6,URBAN,SNOW,937.89
602.53,MEDIUM,9,6,HIGHWAY,CLEAR,451.9
291.81,LOW,17,1,MIXED,RAIN,287.64
422.22,HIGH,19,0,URBAN,CLEAR,2533.32
2305.74,MEDIUM,4,1,MIXED,CLEAR,2766.89
2000.96,LOW,23,4,MIXED,CLEAR,1715.11
255.16,LOW,8,4,MIXED,RAIN,251.51
1167.68,LOW,5,6,MIXED,RAIN,1151.0
368.15,LOW,1,6,HIGHWAY,CLEAR,220.89
640.54,LOW,22,5,URBAN,CLEAR,1281.08
1999.8,HIGH,2,3,URBAN,CLEAR,11998.8
2312.11,HIGH,3,0,MIXED,CLEAR,4624.22
2159.22,HIGH,6,3,URBAN,CLEAR,12955.32
2111.07,MEDIUM,17,0,URBAN,CLEAR,6333.21
1128.56,MEDIUM,20,2,MIXED,CLEAR,1354.27
1890.12,LOW,8,5,HIGHWAY,RAIN,1304.18
768.58,LOW,0,4,URBAN,SNOW,2305.74
1506.34,HIGH,9,5,MIXED,SNOW,4519.02
1507.12,LOW,18,1,MIXED,SNOW,1937.73
1006.22,HIGH,18,1,URBAN,CLEAR,6037.32
2641.16,HIGH,7,3,URBAN,CLEAR,15846.96
2194.09,LOW,13,0,HIGHWAY,CLEAR,1316.45
1359.19,HIGH,22,6,HIGHWAY,SNOW,2038.79
1523.98,HIGH,4,4,URBAN,CLEAR,9143.88
2317.63,MEDIUM,3,5,URBAN,RAIN,7995.82
2010.33,MEDIUM,17,5,HIGHWAY,CLEAR,1507.75
1538.83,HIGH,18,0,MIXED,RAIN,3539.31
199.56,LOW,14,6,MIXED,CLEAR,171.05
2426.11,LOW,15,6,HIGHWAY,RAIN,1674.02
130.74,MEDIUM,1,1,MIXED,SNOW,235.33
1475.79,LOW,23,6,MIXED,CLEAR,1264.96
2889.9,LOW,20,1,URBAN,RAIN,6646.77
2393.82,MEDIUM,10,1,HIGHWAY,RAIN,2064.67
2994.08,LOW,7,5,MIXED,CLEAR,2566.35
849.86,MEDIUM,20,1,MIXED,CLEAR,1019.83
2196.46,LOW,14,3,URBAN,CLEAR,4392.92
1787.54,MEDIUM,16,2,MIXED,RAIN,2466.81
2340.44,LOW,17,2,MIXED,CLEAR,2006.09
1546.43,LOW,15,2,URBAN,CLEAR,3092.86
869.18,LOW,1,1,URBAN,FOG,2172.95
1666.33,MEDIUM,12,2,MIXED,CLEAR,2979.49
385.63,MEDIUM,14,1,HIGHWAY,CLEAR,289.22
1470.0,HIGH,2,5,URBAN,RAIN,10143.0
2933.82,MEDIUM,17,2,URBAN,CLEAR,8801.46
2612.35,MEDIUM,21,2,HIGHWAY,SNOW,2938.89
1776.3,LOW,8,5,MIXED,CLEAR,2022.62
2099.56,MEDIUM,11,2,HIGHWAY,SNOW,2362.0
1034.38,LOW,17,3,MIXED,RAIN,1019.6
1706.67,HIGH,21,5,MIXED,CLEAR,3413.34
647.0,LOW,7,2,URBAN,FOG,1617.5
810.79,LOW,18,2,MIXED,CLEAR,694.96
11.76,LOW,18,6,HIGHWAY,SNOW,10.58
767.29,MEDIUM,13,5,URBAN,RAIN,2647.15
75.04,LOW,11,0,URBAN,CLEAR,150.08
484.93,HIGH,4,4,URBAN,FOG,3636.97
842.14,MEDIUM,23,3,URBAN,RAIN,2905.38
2140.23,MEDIUM,3,0,MIXED,FOG,3210.34
2328.54,MEDIUM,18,3,HIGHWAY,SNOW,2619.61
1538.79,MEDIUM,20,3,HIGHWAY,CLEAR,1756.97
1180.29,HIGH,10,2,URBAN,CLEAR,7081.74
2169.93,MEDIUM,2,5,MIXED,RAIN,2994.5
2015.12,LOW,13,4,URBAN,CLEAR,4030.24
1220.39,LOW,13,3,URBAN,CLEAR,2440.78
2171.2,HIGH,1,6,MIXED,RAIN,4993.76
1116.21,LOW,7,1,URBAN,CLEAR,2232.42
1438.78,LOW,2,3,URBAN,CLEAR,2877.56
1519.62,HIGH,2,3,URBAN,SNOW,13676.58
2120.62,HIGH,20,4,URBAN,CLEAR,12723.72
1854.72,MEDIUM,12,1,MIXED,CLEAR,2225.66
387.09,LOW,1,2,URBAN,RAIN,890.31
2765.26,LOW,8,4,URBAN,CLEAR,5530.52
2289.06,LOW,15,3,URBAN,CLEAR,4578.12
523.55,MEDIUM,22,2,MIXED,CLEAR,628.26
2397.99,MEDIUM,16,4,HIGHWAY,CLEAR,1798.49
1764.22,LOW,9,3,MIXED,RAIN,1739.02
2570.97,MEDIUM,2,1,URBAN,RAIN,8869.85
294.19,LOW,16,1,MIXED,SNOW,378.24
969.84,HIGH,1,4,URBAN,RAIN,6691.9
1722.51,MEDIUM,1,0,HIGHWAY,CLEAR,1291.88
640.35,HIGH,8,5,URBAN,SNOW,5763.15
2925.83,MEDIUM,4,1,URBAN,CLEAR,8777.49
1459.36,LOW,5,6,HIGHWAY,RAIN,1006.96
2080.06,HIGH,4,1,MIXED,CLEAR,4160.12
1739.7,HIGH,15,6,HIGHWAY,CLEAR,1739.7
2487.49,LOW,12,5,HIGHWAY,CLEAR,1492.49
2329.01,LOW,8,3,URBAN,CLEAR,4658.02
1261.81,MEDIUM,15,1,URBAN,CLEAR,3785.43
1969.98,LOW,5,6,HIGHWAY,RAIN,1359.29
837.22,MEDIUM,11,1,HIGHWAY,RAIN,722.1
2990.72,LOW,13,2,MIXED,RAIN,2948.0
983.95,LOW,6,3,HIGHWAY,CLEAR,590.37
760.1,LOW,2,1,URBAN,CLEAR,1520.2
97.25,LOW,5,2,URBAN,RAIN,223.67
1194.14,HIGH,7,0,HIGHWAY,FOG,1492.68
1439.59,HIGH,17,4,MIXED,FOG,3598.97
2545.65,MEDIUM,7,5,URBAN,CLEAR,7636.95
404.16,HIGH,15,6,URBAN,CLEAR,2424.96
398.26,LOW,4,2,MIXED,FOG,426.71
2294.13,HIGH,16,2,HIGHWAY,CLEAR,2294.13
1507.47,MEDIUM,0,3,MIXED,FOG,2261.2
1055.52,HIGH,2,6,MIXED,RAIN,2427.7
2321.41,LOW,7,5,HIGHWAY,CLEAR,1392.85
1841.59,LOW,0,0,MIXED,RAIN,2480.44
2458.19,LOW,0,6,URBAN,FOG,6145.48
897.85,MEDIUM,4,5,URBAN,CLEAR,2693.55
259.98,LOW,22,3,MIXED,CLEAR,222.84
1464.69,HIGH,3,6,MIXED,CLEAR,2929.38
536.4,LOW,1,4,URBAN,RAIN,1497.01
948.72,LOW,13,0,MIXED,RAIN,935.17
1683.09,HIGH,4,5,MIXED,CLEAR,3366.18
1013.92,HIGH,14,4,URBAN,CLEAR,6083.52
2986.88,MEDIUM,17,0,MIXED,CLEAR,3584.26
497.69,HIGH,7,1,HIGHWAY,CLEAR,497.69
2079.56,MEDIUM,11,1,URBAN,CLEAR,6238.68
1701.78,MEDIUM,2,4,HIGHWAY,CLEAR,1276.34
2781.09,LOW,2,4,HIGHWAY,CLEAR,1668.65
1315.42,MEDIUM,14,3,URBAN,CLEAR,3946.26
2790.5,MEDIUM,23,5,MIXED,CLEAR,3348.6
944.12,MEDIUM,4,0,URBAN,CLEAR,2832.36
2636.73,MEDIUM,19,6,MIXED,CLEAR,3164.08
1103.98,MEDIUM,10,0,URBAN,RAIN,3808.73
2748.09,HIGH,21,1,URBAN,CLEAR,16488.54
1633.11,HIGH,11,1,HIGHWAY,CLEAR,1633.11
2864.12,LOW,18,6,MIXED,CLEAR,2454.96
1261.13,LOW,13,0,MIXED,CLEAR,1080.97
1267.99,MEDIUM,14,2,HIGHWAY,CLEAR,950.99
366.4,HIGH,6,1,URBAN,RAIN,2528.16
1334.71,LOW,23,6,MIXED,CLEAR,1144.04
666.08,LOW,12,6,HIGHWAY,RAIN,459.6
1714.93,MEDIUM,10,6,HIGHWAY,CLEAR,1286.2
868.33,HIGH,18,0,URBAN,CLEAR,5209.98
605.36,LOW,9,3,URBAN,RAIN,1392.33
318.28,HIGH,10,5,URBAN,RAIN,2196.13
2363.0,HIGH,22,0,HIGHWAY,RAIN,2717.45
2593.11,MEDIUM,16,1,HIGHWAY,RAIN,2236.56
921.03,LOW,10,6,URBAN,SNOW,2763.09
2064.51,LOW,17,1,URBAN,RAIN,4748.37
2079.41,LOW,3,5,HIGHWAY,CLEAR,1247.65
2689.35,LOW,16,0,MIXED,CLEAR,2305.16
2558.9,LOW,5,2,MIXED,SNOW,3290.01
2110.79,MEDIUM,19,4,MIXED,CLEAR,2532.95
2615.91,MEDIUM,4,6,MIXED,CLEAR,3139.09
1136.07,LOW,2,5,URBAN,CLEAR,2272.14
1628.5,MEDIUM,20,4,URBAN,CLEAR,4885.5
822.18,LOW,15,2,HIGHWAY,CLEAR,493.31
2182.64,MEDIUM,14,1,HIGHWAY,FOG,2046.22
2839.12,LOW,21,3,HIGHWAY,CLEAR,1703.47
532.58,LOW,23,6,HIGHWAY,SNOW,479.32
397.52,HIGH,16,0,URBAN,CLEAR,2385.12
1575.57,LOW,19,1,URBAN,SNOW,4726.71
2477.9,LOW,21,6,URBAN,CLEAR,4955.8
1901.84,MEDIUM,16,6,MIXED,CLEAR,2282.21
1955.09,LOW,7,5,MIXED,CLEAR,1675.79
1587.55,MEDIUM,18,1,URBAN,RAIN,5477.05
288.83,MEDIUM,23,3,MIXED,SNOW,519.89
2810.71,MEDIUM,2,4,HIGHWAY,CLEAR,2108.03
2011.08,LOW,5,0,URBAN,CLEAR,4022.16
189.29,LOW,21,1,HIGHWAY,CLEAR,113.57
2083.7,MEDIUM,15,1,URBAN,CLEAR,6251.1
403.72,LOW,0,2,MIXED,CLEAR,346.05
853.89,MEDIUM,11,1,URBAN,FOG,3202.09
603.24,MEDIUM,14,0,URBAN,CLEAR,1809.72
504.53,LOW,4,3,URBAN,CLEAR,1009.06
1508.72,LOW,14,5,URBAN,RAIN,3470.06
1288.32,MEDIUM,21,1,URBAN,SNOW,5797.44
1945.07,LOW,1,6,URBAN,CLEAR,3890.14
2235.28,HIGH,0,1,HIGHWAY,RAIN,2570.57
2151.11,LOW,11,0,URBAN,FOG,5377.78
1853.96,LOW,3,0,MIXED,RAIN,1827.47
